Term,Meaning (VI),Target EN,Target ZH,,
production,Chuyền sản xuất,Production line,生產線,,
production,Công đoạn,Operation,工序,,
production,Quy trình chuẩn,Standard Operating Procedure,標準作業程序,,
production,Hướng dẫn công việc,Work Instruction,作業指導書,,
LEAN,Thời gian takt,Takt time,節拍時間,,
LEAN,Thời gian chu kỳ,Cycle time,週期時間,,
LEAN,Điểm nghẽn,Bottleneck,瓶頸,,
production,Năng lực sản xuất,Capacity,產能,,
production,Sản lượng,Output,產量,,
LEAN,Cân bằng chuyền,Line balancing,平衡生產線,,
production,Giờ công,Working hours,工時,,
production,Bố trí nhân lực,Manpower allocation,人力配置,,
production,Sản xuất thử,Trial production,試產,,
production,Sản xuất hàng loạt,Mass production,量產,,
production,Chuyển mã,Model changeover,轉單,,
LEAN,chuyển mã nhanh,Quick changeover,快速換線,,
production,Bán thành phẩm,Semi-finished goods,半成品,,
production,Thành phẩm,Finished goods,成品,,
production,Phế,Scrap,報廢,,
production,Tái chế,Rework,翻箱,,
production,Dừng chuyền,Line stop,停線,,
production,Tỷ lệ sử dụng,Utilization rate,稼動率,,
Quality,Tỷ lệ đạt,Pass rate,良率,,
production,Hàng tồn ứ,WIP,在製品,,
LEAN,Thời gian tiêu chuẩn,Standard time,標準時間,,
Quality,Kiểm soát chất lượng,Quality control,品質管制,,
Quality,Kiểm tra đầu chuyền,First inspection,首件檢查,,
Quality,Kiểm tra 100%,100% inspection,全檢,,
Quality,Kiểm tra lấy mẫu,Sampling inspection,抽檢,,
Quality,Kiểm tra ngoại quan,appearance inspection,外觀檢查,,
Quality,Mức độ,Tolerance,尺寸公差,,
Quality,Hàng lỗi,Defect,不良品,,
Quality,Lỗi lọt,Missed defect,漏檢,,
Quality,Biến dạng,Deformation,變形,,
Quality,Co rút,Shrinkage,收縮,,
Quality,Lệch màu,Color deviation,色差,,
Quality,Độ bám dính,bonding,附著力,,
Quality,Bong tróc,Peeling,剝離,,
Quality,Kiểm tra độ bền,Strength test,強度測試,,
Quality,Tiêu chuẩn chất lượng,Quality standard,品質標準,,
Quality,Truy xuất nguồn gốc,Traceability,追溯性,,
Quality,Khiếu nại khách hàng,Customer complaint,客訴,,
Quality,Đánh giá nội bộ,Internal audit,內部稽核,,
Quality,Phân tích lỗi,Failure analysis,失效分析,,
LEAN,Nguyên nhân gốc,Root cause,根本原因,,
production,Thân giày,Upper,鞋面,,
production,Đế lớn,Outsole,大底,,
production,Đế trung,Midsole,中底,,
production,Lưỡi gà,Tongue,鞋舌,,
production,Pho hậu,Heel counter,港寶,,
production,Bao mũi,Toe cap,鞋頭,,
production,Đế cốp,Insole,鞋墊,,
production,Phom,Last,鞋楦,,
production,Ép,Pressing,壓合,,
production,Quét keo,Cementing,上膠,,
production,Ép nóng,Heat pressing,熱壓,,
production,Làm lạnh,Cooling,冷卻,,
production,Mài,Buffing,打磨,,
production,Chặt,Cutting,裁斷,,
production,May,Stitching,縫製,,
production,Gò,Assembly,組裝,,
production,Gấp biên,Edge folding,折邊,,
production,Định vị,Positioning,定位,,
production,Đục lỗ,Punching,打孔,,
production,Lỗ thông hơi,Vent hole,氣孔,,
production,In,Printing,印刷,,
production,Cán,Lamination,貼合,,
production,Dây giày,Shoelace,鞋帶,,
production,Bao bì,Packing,包裝,,
production,Dán nhãn,Labeling,貼標,,
production,SOP,SOP,SOP,,
LEAN,CT,CT,CT,,
LEAN,TT,TT,TT,,
production,3 dây trang trí,3 Stripes,三飾條,,
production,Bao hậu HN,Lateral Heel Cap,後包片外腰,,
production,Bao hậu HT,Medial Heel Cap,後包片內腰,,
production,Trang trí hậu HN,Lateral Heel Patch,後套飾片 (外腰),,
production,Trang trí hậu HT,Medial Heel Patch,後套飾片 (內腰),,
Job title,Tổ phó,,副組長,,
Job title,CBTS-sản xuất,,實習幹部-生产,,
Job title,Công nhân,,工人,,
Job title,Tổ trưởng,,組長,,
Job title,Phó ngành,,副課長,,
Job title,Trưởng ngành,,課長,,
Job title,Phó tổng giám đốc,,副总经理,,
Job title,Kế toán trưởng,,会计长,,
Job title,Kế toán phó,,副会计长,,
Job title,Phó chủ nhiệm việt nam,,越南副主任,,
Job title,Nhân viên,,职员,,
Job title,Chủ nhiệm,,主任,,
Job title,CBTS-Nhân viên,,實習幹部-职员,,
Job title,Trưởng Bộ Phận,,组长,,
Job title,Trưởng Phòng,,课长,,
Job title,Phó phòng,,副课长,,
Job title,Phó Giám Đốc,,副经理,,
Job title,Phó Trưởng Xưởng,,副廠長,,
Job title,Giám đốc SEA,,SEA 经理,,
Job title,TRƯỞNG XƯỞNG,,廠長,,
Job title,Giám  đốc điều hành,,執行經理,,
Job title,Giám  đốc,,經理,,
Job title,Phó Giám Đốc,,副理,,
Job title,Tương Lý,,襄理,,
Job title,Tổng giám đốc,,總經理,,
Job title,Phó tổng giám  đốc,,副總經理,,
Job title,Trợ lý đặc biệt,,特助,,
Job title,Hiệp lý,,協理,,
Job title,Hiệp lý sản xuất,,協理,,
Job title,Phó hiệp lý,,副協理,,
Job title,Giám đốc xưởng,,經理,,
Quality issues,Vệ sinh dơ,Soiling,脏污,,
Quality issues,Hở keo,Bonding gap,开胶,,
Quality issues,Keo cao,Over - cementing,高胶,,
Quality issues,Đệm méo,Center off eyestay,鞋眼歪,,
Quality issues,Mũi méo,Center off Toe,鞋眼歪,,
Quality issues,Hậu méo,Center off Heel,鞋眼歪,,
Quality issues,Chỉ dư,Over thread,线头,,
Quality issues,tưa biên,Frayed edge,毛边,,
Quality issues,Mài trầy vật tư,Over - buffing,过度打粗,,
Quality issues,Cách biên không đều,Edge Distance Variation,编剧落差,,
Quality issues,Nhăn mặt giày,Wrinkled upper,鞋面起皱,,
Quality issues,Logo trang trí hậu cao thấp,Uneven Heel Cap Logo,后跟标志偏差,,
Dept name,A_G01,A_G01,A栋-成型 LINE 1,,
Dept name,A_G02,A_G02,A栋-成型 LINE 2,,
Dept name,A_G03,A_G03,A栋-成型 LINE 3,,
Dept name,A_G04,A_G04,A栋-成型 LINE 4,,
