Term,Meaning (VI),Target EN,Target ZH,Enable
Component,Mũi méo,Toe off Center,鞋头歪,TRUE
Dept name,Tổng vụ,General purchasing,總務,TRUE
Dept name,kho tổng vụ,General purchasing weahouse,總務倉庫,TRUE
Material,Hậu méo,Heel off Center,鞋眼歪,TRUE
Component,Đế trung,die cut EVA,中底,TRUE
Component,Đế trung tháo,Sockliner,中底板,TRUE
production,Mũ giày,Upper,鞋面,TRUE
production,Bao mũi,Toe cap,鞋頭,TRUE
Job title,Phó Giám Đốc,Deputy manager,副理,TRUE
Dept name,Thân,Quarter  ,鞋身,TRUE
production,Talon mũi,Vamp rubber,前包頭,TRUE
Job title,Thủ công,Handwork ,手工,TRUE
Machine,Máy ép đế,Verticle pressing machine, 压机,TRUE
Machine,Máy ép đa năng,Universal pressing machine, 牆式壓機,TRUE
Machine,Máy làm đế,Outsole compression molding machine,壓大底機,TRUE
production,Chuyền sản xuất,Production line,生產線,TRUE
production,Công đoạn,Operation,工序,TRUE
production,Quy trình chuẩn,Standard Operating Procedure,標準作業程序,TRUE
production,Hướng dẫn công việc,Work Instruction,作業指導書,TRUE
LEAN,Thời gian takt,Takt time,節拍時間,TRUE
LEAN,Thời gian chu kỳ,Cycle time,週期時間,TRUE
LEAN,Điểm nghẽn,Bottleneck,瓶頸,TRUE
production,Năng lực sản xuất,Capacity,產能,TRUE
production,Sản lượng,Output,產量,TRUE
LEAN,Cân bằng chuyền,Line balancing,平衡生產線,TRUE
production,Giờ công,Working hours,工時,TRUE
production,Bố trí nhân lực,Manpower allocation,人力配置,TRUE
production,Sản xuất thử,Trial production,試產,TRUE
production,Sản xuất hàng loạt,Mass production,量產,TRUE
production,Chuyển mã,Model changeover,轉單,TRUE
LEAN,chuyển mã nhanh,Quick changeover,快速換線,TRUE
production,Bán thành phẩm,Semi-finished goods,半成品,TRUE
production,Thành phẩm,Finished goods,成品,TRUE
production,Phế,Scrap,報廢,TRUE
Component,Trang trí thân,Quarter deco,鞋身飾片,TRUE
production,Dừng chuyền,Line stop,停線,TRUE
production,Tỷ lệ sử dụng,Utilization rate,稼動率,TRUE
Quality,Tỷ lệ đạt,Pass rate,良率,TRUE
production,Hàng tồn ứ,WIP,在製品,TRUE
LEAN,Thời gian tiêu chuẩn,Standard time,標準時間,TRUE
Quality,Kiểm soát chất lượng,Quality control,品質管制,TRUE
Quality,Kiểm tra đầu chuyền,First inspection,首件檢查,TRUE
Quality,Kiểm tra 100%,100% inspection,全檢,TRUE
Quality,Kiểm tra lấy mẫu,Sampling inspection,抽檢,TRUE
Quality,Kiểm tra ngoại quan,appearance inspection,外觀檢查,TRUE
Quality,Mức độ,Tolerance,尺寸公差,TRUE
Quality,Hàng lỗi,Defect,不良品,TRUE
Quality,Lỗi lọt,Missed defect,漏檢,TRUE
Quality,Biến dạng,Deformation,變形,TRUE
Quality,Co rút,Shrinkage,收縮,TRUE
Quality,Lệch màu,Color deviation,色差,TRUE
Quality,Độ bám dính,bonding,附著力,TRUE
Quality,Bong tróc,Peeling,剝離,TRUE
Quality,Kiểm tra độ bền,Strength test,強度測試,TRUE
Quality,Tiêu chuẩn chất lượng,Quality standard,品質標準,TRUE
Quality,Truy xuất nguồn gốc,Traceability,追溯性,TRUE
Quality,Khiếu nại khách hàng,Customer complaint,客訴,TRUE
Quality,Đánh giá nội bộ,Internal audit,內部稽核,TRUE
Quality,Phân tích lỗi,Failure analysis,失效分析,TRUE
LEAN,Nguyên nhân gốc,Root cause,根本原因,TRUE
production,Đế lớn,Outsole,大底,TRUE
production,Pho hậu,Heel counter,港寶,TRUE
production,Đế cốp,Insole,鞋墊,TRUE
production,Phom,Last,鞋楦,TRUE
production,Ép,Pressing,壓合,TRUE
production,Quét keo,Cementing,上膠,TRUE
production,Ép nóng,Heat pressing,熱壓,TRUE
production,Làm lạnh,Cooling,冷卻,TRUE
production,Mài,Buffing,打磨,TRUE
production,Chặt,Cutting,裁斷,TRUE
production,May,Stitching,縫製,TRUE
production,Gò,Assembly,組裝,TRUE
production,Gấp biên,Edge folding,折邊,TRUE
production,Định vị,Positioning,定位,TRUE
production,Đục lỗ,Punching,打孔,TRUE
production,Lỗ thông hơi,Vent hole,氣孔,TRUE
production,In,Printing,印刷,TRUE
production,Cán,Lamination,貼合,TRUE
production,Dây giày,Shoelace,鞋帶,TRUE
production,Bao bì,Packing,包裝,TRUE
production,Dán nhãn,Labeling,貼標,TRUE
production,SOP,SOP,SOP,TRUE
LEAN,CT,CT,CT,TRUE
LEAN,TT,TT,TT,TRUE
production,3 dây trang trí,3 Stripes,三飾條,TRUE
production,Bao hậu HN,Lateral Heel Cap,後包片外腰,TRUE
production,Bao hậu HT,Medial Heel Cap,後包片內腰,TRUE
Material,Trang trí mũi,Vamp deco,鞋頭飾片,TRUE
production,Trang trí hậu HT,Medial Heel Patch,後套飾片 (內腰),TRUE
Job title,Tổ phó,Deputy leader,副組長,TRUE
Job title,Công nhân,Worker,工人,TRUE
Job title,Tổ trưởng,Line leader,組長,TRUE
Job title,Phó ngành,Vice Section leader,副課長,TRUE
